Issue Type,Key,Epic,Summary,Phase,Story Points,Depends On,Labels,Description
Epic,E1,,Каталог и просмотр профиля,MVP,,,catalog;read,"Публичный read-каталог и страница профиля участника"
Story,US-1.1,E1,Просмотр сегментированного каталога,MVP,5,,catalog,"Как покупатель, я хочу фильтровать каталог по роли/тиру/фактору, чтобы быстро находить надёжных контрагентов"
Task,T-1.1.1,E1,API GET /participants с фильтрами и курсором,MVP,3,,backend;api,"Реализовать фильтры role/tier/factor/verified_legal/q + cursor pagination"
Task,T-1.1.2,E1,UI каталога с сегментами и dominant factor,MVP,3,T-1.1.1,frontend,"Сетка карточек, бейдж тира, доминирующий фактор, пустое состояние"
Task,T-1.1.3,E1,Индексы и trgm-поиск,MVP,2,,db,"Индексы каталога, gin_trgm для поиска"
Story,US-1.2,E1,Страница профиля участника,MVP,5,US-1.1,catalog,"Как покупатель, я хочу видеть факторы и флаги участника, чтобы оценить доверие"
Task,T-1.2.1,E1,API GET /participants/{id} и /history,MVP,3,,backend;api,"Профиль + история по algo_version"
Task,T-1.2.2,E1,UI профиля (факторы/вклад/флаги),MVP,3,T-1.2.1,frontend,"Анатомия профиля, состояния empty/loading/error"
Epic,E2,,Score и доминирующий фактор,MVP,,,scoring,"Ядро расчёта Trust Score и его отображение"
Story,US-2.1,E2,Расчёт и показ Score с доминирующим фактором,MVP,8,,scoring,"Как покупатель, я хочу видеть Score с пояснением доминанты, чтобы понимать силу участника"
Task,T-2.1.1,E2,Fi-нормализации 9 факторов,MVP,8,,scoring,"Реализовать абсолютные полосы по Wave 1"
Task,T-2.1.2,E2,Матрица весов 22x9 по algo_version,MVP,3,,scoring,"role_factor_weights + инвариант ΣW=1"
Task,T-2.1.3,E2,Dᵢ decay-классы и Pₛ,MVP,5,T-2.1.1,scoring,"4 класса decay, Pₛ=1-∏(1-pk) с потолками"
Task,T-2.1.4,E2,Доминирующий фактор и balanced/no-TS,MVP,3,T-2.1.1,scoring,"Логика вклада, balanced, null для no-TS"
Task,T-2.1.5,E2,Golden-датасеты и регрессия,MVP,3,T-2.1.3,qa,"Эталонные входы→Score для CI"
Epic,E3,,Бейдж и публичное API,MVP,,,badge;api,"Встраиваемый подписанный бейдж и read API"
Story,US-3.1,E3,Серверный подписанный SVG-бейдж,MVP,5,US-2.1,badge,"Как вендор, я хочу встроить бейдж, чтобы показать доверие на своём сайте"
Task,T-3.1.1,E3,Badge endpoint + рендер SVG/PNG,MVP,3,,backend,"Серверный рендер, theme light/dark"
Task,T-3.1.2,E3,Подпись через KMS/HSM + кэш/ETag,MVP,3,T-3.1.1,backend;security,"Подпись эндпоинта, TTL, anti-tamper"
Story,US-3.2,E3,Public read API,MVP,3,US-1.1,api,"Как интегратор, я хочу читать данные без аутентификации"
Task,T-3.2.1,E3,Rate-limit + conventions + ошибки,MVP,3,,backend;api,"429/Retry-After, единый формат ошибок"
Epic,E4,,Онбординг и идентичность,MVP,,,identity,"Claim-profile, KYB/KYC, PoP"
Story,US-4.1,E4,Claim-profile и KYB,MVP,5,,identity,"Как участник, я хочу заявить профиль и пройти KYB"
Task,T-4.1.1,E4,POST /claims + интеграция KYB,MVP,5,,backend;integration,"Async верификация, pending→provisional"
Task,T-4.1.2,E4,Состояния профиля и онбординг-UX,MVP,3,T-4.1.1,frontend,"unclaimed/provisional/active"
Story,US-4.2,E4,Proof-of-Personhood L0,MVP,3,,identity;security,"PoP phone+device для консьюмеров"
Task,T-4.2.1,E4,SMS/OTP + device-сигналы,MVP,3,,backend;integration,"Анти-дубль, rate-limit"
Story,US-4.3,E4,KYB fallback по юрисдикции,MVP,3,US-4.1,identity,"L1 + повышенный вес blind-теста + trust ceiling"
Task,T-4.3.1,E4,Логика ceiling и весов,MVP,3,T-2.1.2,scoring,"Потолок тира при недостижимом KYB"
Epic,E5,,Тесты оракулы ончейн,MVP,,,oracle;onchain,"COA от оракулов и anchoring в L2"
Story,US-5.1,E5,Подача COA оракулом,MVP,5,US-4.1,oracle,"Как оракул, я хочу подписывать COA, чтобы подтверждать качество"
Task,T-5.1.1,E5,PKI оракулов + проверка подписи/CRL,MVP,5,,backend;security,"Root CA, intermediate, CRL"
Task,T-5.1.2,E5,Анти-reuse артефактов,MVP,3,T-5.1.1,security,"media_hash/pHash, nonce-челлендж"
Story,US-5.2,E5,Anchoring событий в L2,MVP,5,US-2.1,onchain,"Как любой, я хочу проверять целостность ончейн"
Task,T-5.2.1,E5,HashAnchor + Merkle-батчинг,MVP,5,,backend;onchain,"Анонимные хеши, батч в L2"
Task,T-5.2.2,E5,GET /verify/{hash} + SM anchoring,MVP,3,T-5.2.1,backend,"pending/anchored/failed, ретраи"
Epic,E6,,Trust-пропагация и алерты,V1,,,scoring,"Пропагация Vᵢ и демпфер"
Story,US-6.1,E6,Пропагация Vᵢ по связям,V1,8,US-2.1,scoring,"Bounded one-hop, lot_share, cap 0.85, λ_blind"
Task,T-6.1.1,E6,Граф связей + исключение циклов,V1,5,,scoring,"counterparty_links, cycle detection"
Task,T-6.1.2,E6,Агрегация и штраф концентрации,V1,5,T-6.1.1,scoring,"top_share>0.6 penalty, max из независимых"
Story,US-6.2,E6,Демпфер и отмена буфера,V1,5,US-6.1,scoring,"30-дн среднее; работа с флагнутым → буфер аннулируется"
Task,T-6.2.1,E6,Dempfer + уровни алертов,V1,5,,scoring,"INFO/WARNING/CRITICAL, пересчёт вниз"
Epic,E7,,Chain Pull,V1,,,growth,"Привлечение контрагентов"
Story,US-7.1,E7,Приглашение и кредит инициатору,V1,5,US-4.1,growth,"Bring-in-and-lift-up механика"
Task,T-7.1.1,E7,Реферальная привязка и кредит,V1,5,,backend,"Учёт Chain Pull"
Epic,E8,,Апелляции и Steward-панели,V1,,,governance,"Спорные суждения"
Story,US-8.1,E8,Апелляция через Steward-панель,V1,8,US-2.1,governance,"VRF-отбор, conflict-screen, chair-oracle, loser-pays"
Task,T-8.1.1,E8,Поток апелляции + state machine,V1,5,,backend,"submitted→panel_forming→in_review→decided"
Task,T-8.1.2,E8,VRF-отбор и conflict-screening,V1,5,T-8.1.1,backend,"Граф-конфликты, кросс-сегмент"
Epic,E9,,B2B-продукты,V1,,,b2b,"Due-diligence, мониторинг, аналитика, VaaS"
Story,US-9.1,E9,Due-diligence отчёт,V1,5,US-1.2,b2b,"Платный отчёт по участнику; нейтральность"
Task,T-9.1.1,E9,Генерация отчёта + биллинг,V1,5,,backend,"SKU due_diligence"
Story,US-9.2,E9,Мониторинг-вебхуки,V1,5,US-2.1,b2b,"score.updated/flag.opened/lot.recalled"
Task,T-9.2.1,E9,Outbox + доставка + retry,V1,5,,backend,"Transactional outbox, HMAC-подпись"
Epic,E10,,Lot-QR и chain-of-custody,V1,,,custody,"Привязка партий и цепочка владения"
Story,US-10.1,E10,Lot-QR и custody-цепочка,V1,8,US-5.1,custody,"Неполная цепочка→Vᵢ≠1.0; self-sampling≠1.0"
Task,T-10.1.1,E10,Lot-QR PKI + контр-подпись,V1,5,,backend;security,"Эмиссия ключей лота"
Task,T-10.1.2,E10,Custody-записи и подписи шагов,V1,5,T-10.1.1,backend,"steps JSONB, complete flag"
Epic,E11,,ZK и приватность,V2,,,privacy,"Полный ZK вместо shielded assertion"
Story,US-11.1,E11,ZK-доказательство blind-связи,V2,13,US-6.1,privacy,"Факт без раскрытия идентичности"
Task,T-11.1.1,E11,ZK-схема и верификация,V2,13,,research;backend,"Замена shielded assertion"
Epic,E12,,Аналитика VaaS охват,V2,,,analytics,"Агрегаты и охват"
Story,US-12.1,E12,Агрегированная аналитика,V2,8,US-2.1,analytics,"Только агрегаты, без реидентификации"
Task,T-12.1.1,E12,Аналитический слой,V2,8,,backend;data,"Агрегации, приватность"
Story,US-12.2,E12,VaaS / охват,V2,5,US-9.1,analytics,"Verification-as-a-service контракт"
Task,T-12.2.1,E12,VaaS API,V2,5,,backend,"SKU vaas"
